71131	73.988	0.23634	911.57
71161	74.118	0.28637	912.1
71191	74.214	0.49938	959.87
71221	74.325	0.5226	885.82
71251	74.425	0.50031	935.23
71281	74.492	0.38676	843.11
71312	74.687	0.5273	912.65
71342	74.883	0.62678	931.25
71372	74.983	0.3937	899.44
71402	75.015	0.46224	850.4
71432	75.061	0.51571	975.01
71462	75.095	0.57073	967.03
71492	75.165	0.52902	888.4
71522	75.3	0.56784	922.72
71552	75.476	0.48233	898.46
71582	75.639	0.66125	905.62
71612	75.771	0.56662	904.47
71642	75.944	0.44182	951.08
71672	76.048	0.60822	941.91
71702	76.189	0.60286	922.9
71732	76.314	0.60398	892.36
71762	76.427	0.66002	892.46
71792	76.568	0.47913	947.54
71822	76.619	0.51776	895.4
71852	76.678	0.44086	907.62
71882	76.663	0.64684	936.34
71913	76.669	0.52567	878.59
71943	76.678	0.57866	956.59
71973	76.748	0.54685	849.02
72003	76.722	0.56181	936.55
72033	76.731	0.5748	952.64
72067	76.712	0.58637	1048.7
72141	76.832	0.47594	924.29
72171	77.033	0.5456	913.71
72201	77.172	0.53985	852.98
72231	77.274	0.33344	858.22
72261	77.416	0.34048	871.65
72291	77.562	0.43531	863.8
72321	77.694	0.41531	822.41
72352	77.774	0.69315	910.81
72382	77.966	0.64228	911.78
72412	78.085	NaN	790.68
72442	78.054	NaN	852.37
72472	78.024	NaN	867.97
72502	78.049	NaN	816.84
72532	78.18	NaN	923.51
72562	78.411	NaN	821.65
72592	78.664	NaN	904.56
72622	78.904	NaN	953.63
72652	79	NaN	828.54
72682	78.945	NaN	877.11
72712	78.939	NaN	803.2
72742	79.006	NaN	885.15
72772	79.061	NaN	917.41
72802	79.231	NaN	852.32
